               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017127,            0.011404,            0.020252,             0.89491,             0.77521,             0.88361,             0.75957,           0.0073313,           0.0028468,           0.0070496,            0.008845,            0.008845,            0.008845
                  37,              0.0163,            0.011754,            0.018929,              0.8311,             0.75328,             0.89201,             0.71574,           0.0066371,           0.0030395,           0.0087624,            0.008812,            0.008812,            0.008812
                  38,            0.017337,            0.011713,            0.018758,             0.83261,             0.83465,             0.90641,             0.61436,           0.0068613,           0.0038571,           0.0056324,            0.008779,            0.008779,            0.008779
                  39,            0.022044,            0.011545,            0.025296,              0.7457,              0.7277,             0.84855,             0.63914,           0.0073364,           0.0039347,           0.0064011,            0.008746,            0.008746,            0.008746
                  40,            0.016645,            0.011264,            0.019917,             0.65424,             0.62717,             0.74694,             0.59022,           0.0080526,           0.0029048,            0.010857,            0.008713,            0.008713,            0.008713
                  41,            0.016891,            0.010769,            0.018873,              0.8159,             0.67006,             0.82825,             0.45267,           0.0099894,            0.003294,           0.0074921,             0.00868,             0.00868,             0.00868
                  42,            0.016076,            0.012116,            0.018182,              0.7421,             0.75518,             0.84036,             0.61246,            0.007066,           0.0030614,           0.0082607,            0.008647,            0.008647,            0.008647
                  43,            0.018654,            0.011336,            0.018749,             0.55743,             0.73712,             0.80113,             0.66347,           0.0071202,           0.0026228,            0.011925,            0.008614,            0.008614,            0.008614
                  44,            0.018384,            0.011483,            0.023631,              0.8501,             0.80208,              0.9233,             0.71244,           0.0066788,           0.0026624,           0.0067654,            0.008581,            0.008581,            0.008581
                  45,            0.016144,             0.01118,            0.017665,             0.76079,             0.68497,             0.82538,             0.68899,           0.0064488,           0.0026606,           0.0087585,            0.008548,            0.008548,            0.008548
                  46,            0.016065,             0.01165,            0.019321,             0.78888,             0.69259,             0.83448,             0.64955,           0.0070748,           0.0030538,            0.008173,            0.008515,            0.008515,            0.008515
                  47,            0.018202,            0.011573,            0.022966,             0.83589,             0.81095,             0.91155,             0.73465,           0.0067614,           0.0028681,           0.0055656,            0.008482,            0.008482,            0.008482
                  48,            0.014789,            0.011085,            0.016828,             0.80146,              0.8127,             0.87701,             0.69881,           0.0071515,           0.0030024,           0.0063763,            0.008449,            0.008449,            0.008449
                  49,            0.017393,            0.010916,             0.01684,             0.92195,             0.78834,             0.91772,             0.73055,           0.0066473,           0.0028911,           0.0055351,            0.008416,            0.008416,            0.008416
                  50,            0.014822,             0.01098,            0.016007,             0.75841,             0.85099,             0.87467,             0.68846,           0.0065308,           0.0030985,           0.0058231,            0.008383,            0.008383,            0.008383
                  51,            0.015558,            0.010609,            0.015689,             0.87116,             0.87188,             0.93055,             0.77573,           0.0060728,           0.0027097,           0.0041523,             0.00835,             0.00835,             0.00835
                  52,            0.016972,             0.01086,            0.019169,             0.83989,             0.84555,             0.91525,              0.6985,           0.0070619,           0.0024601,           0.0056133,            0.008317,            0.008317,            0.008317
                  53,            0.014054,            0.010932,            0.015367,             0.83457,             0.82029,             0.92692,             0.78822,           0.0062502,           0.0026017,           0.0050831,            0.008284,            0.008284,            0.008284
                  54,            0.015292,            0.010963,            0.016845,             0.83256,             0.82384,             0.91312,             0.65577,           0.0073314,           0.0030794,           0.0061073,            0.008251,            0.008251,            0.008251
                  55,            0.015754,            0.010348,            0.017493,             0.77204,             0.81847,              0.9063,             0.72748,           0.0060599,            0.002807,           0.0067883,            0.008218,            0.008218,            0.008218
                  56,            0.015126,            0.011039,            0.018596,             0.77145,             0.77303,             0.85488,             0.71557,           0.0068076,           0.0026993,           0.0080299,            0.008185,            0.008185,            0.008185
                  57,            0.014838,            0.011063,            0.017182,             0.79419,              0.8436,              0.8809,             0.72677,           0.0065353,           0.0026564,           0.0062962,            0.008152,            0.008152,            0.008152
                  58,            0.014633,            0.010992,            0.015591,             0.79459,             0.71084,             0.84133,             0.59751,           0.0065828,           0.0033234,           0.0064983,            0.008119,            0.008119,            0.008119
                  59,            0.015377,            0.010851,            0.016095,             0.88696,             0.87723,             0.94738,             0.83156,           0.0053154,           0.0025654,           0.0035057,            0.008086,            0.008086,            0.008086
                  60,            0.017082,             0.01095,             0.01581,             0.85987,             0.81253,             0.89855,             0.74911,           0.0065662,           0.0024401,           0.0073128,            0.008053,            0.008053,            0.008053
                  61,            0.014672,            0.010184,             0.01514,             0.75363,             0.79847,             0.89031,             0.75262,           0.0066419,           0.0023607,           0.0082779,             0.00802,             0.00802,             0.00802
                  62,            0.017624,            0.010582,            0.016884,             0.81906,             0.77277,             0.91409,             0.69873,           0.0060357,           0.0027144,           0.0067043,            0.007987,            0.007987,            0.007987
                  63,            0.014534,            0.011026,            0.013908,             0.73551,              0.8326,             0.87376,             0.72502,           0.0058618,           0.0027264,           0.0084782,            0.007954,            0.007954,            0.007954
                  64,            0.016858,            0.010615,            0.018041,             0.78619,             0.82979,              0.9133,             0.80565,           0.0059498,           0.0025399,           0.0064373,            0.007921,            0.007921,            0.007921
                  65,            0.014192,            0.010887,            0.015836,             0.76393,             0.88834,              0.9208,             0.80005,           0.0058077,            0.002644,           0.0050459,            0.007888,            0.007888,            0.007888
                  66,            0.013206,            0.010462,              0.0162,             0.89388,             0.82298,              0.9292,              0.7766,           0.0058222,           0.0028157,           0.0058289,            0.007855,            0.007855,            0.007855
                  67,            0.013171,            0.010024,            0.014942,             0.82406,             0.82111,             0.94171,             0.76584,           0.0059638,           0.0029524,           0.0053139,            0.007822,            0.007822,            0.007822
                  68,            0.015889,            0.010743,             0.01684,             0.78512,             0.78204,             0.90837,             0.74796,           0.0060963,           0.0032658,           0.0067749,            0.007789,            0.007789,            0.007789
                  69,            0.013208,            0.010099,            0.013542,             0.72962,             0.90076,             0.95091,             0.77546,           0.0056277,           0.0025862,            0.005619,            0.007756,            0.007756,            0.007756
